Ind Date Anchor,Ind Date Span,Ind Id,Ind Obs Note,Ind Place,Ind Place Type,Ind Rate Word,ind_selectname,Is projected word,Ind Rate Pct Change,Ind Denom,Ind Num,Ind Rate
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Graham,County,LOW,Death: Overdose Death,,,"8,811",1,11.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Granville,County,LOW,Death: Overdose Death,,,"57,503",6,10.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Greene,County,LOW,Death: Overdose Death,,,"21,514",3,13.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Guilford,County,LOWEST,Death: Overdose Death,,,"494,953",48,9.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Halifax,County,LOWEST,Death: Overdose Death,,,"54,114",5,9.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Harnett,County,LOW,Death: Overdose Death,,,"119,178",13,10.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Haywood,County,LOWEST,Death: Overdose Death,,,"58,726",4,6.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Henderson,County,LOW,Death: Overdose Death,,,"107,370",15,14
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Hertford,County,LOWEST (ZERO),Death: Overdose Death,,,"24,718",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Hoke,County,LOW,Death: Overdose Death,,,"49,468",8,16.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Hyde,County,LOWEST (ZERO),Death: Overdose Death,,,"5,798",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Iredell,County,MIDDLE,Death: Overdose Death,,,"161,037",36,22.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Jackson,County,LOW,Death: Overdose Death,,,"40,240",7,17.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Johnston,County,LOW,Death: Overdose Death,,,"172,446",20,11.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Jones,County,LOWEST (ZERO),Death: Overdose Death,,,"10,060",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Lee,County,LOW,Death: Overdose Death,,,"58,531",11,18.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Lenoir,County,MIDDLE,Death: Overdose Death,,,"59,411",13,21.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Lincoln,County,LOW,Death: Overdose Death,,,"78,297",13,16.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Macon,County,LOW,Death: Overdose Death,,,"33,887",5,14.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Madison,County,LOWEST,Death: Overdose Death,,,"20,845",1,4.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Martin,County,LOWEST,Death: Overdose Death,,,"24,186",1,4.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,McDowell,County,LOW,Death: Overdose Death,,,"45,053",7,15.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Mecklenburg,County,LOWEST,Death: Overdose Death,,,"943,823",77,8.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Mitchell,County,LOW,Death: Overdose Death,,,"15,356",2,13
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Montgomery,County,LOWEST (ZERO),Death: Overdose Death,,,"27,706",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Moore,County,LOWEST,Death: Overdose Death,,,"89,262",7,7.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Nash,County,LOW,Death: Overdose Death,,,"95,740",10,10.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,NC,State,LOW,Death: Overdose Death,,,"9,657,592","1,222",12.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,New Hanover,County,LOW,Death: Overdose Death,,,"205,966",39,18.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Northampton,County,LOWEST,Death: Overdose Death,,,"21,916",1,4.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Onslow,County,LOW,Death: Overdose Death,,,"184,993",23,12.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Orange,County,LOW,Death: Overdose Death,,,"134,825",16,11.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Pamlico,County,LOW,Death: Overdose Death,,,"13,244",2,15.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Pasquotank,County,LOW,Death: Overdose Death,,,"40,266",5,12.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Pender,County,LOW,Death: Overdose Death,,,"53,175",6,11.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Perquimans,County,LOWEST,Death: Overdose Death,,,"13,498",1,7.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Person,County,MIDDLE,Death: Overdose Death,,,"39,520",9,22.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Pitt,County,LOWEST,Death: Overdose Death,,,"170,791",9,5.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Polk,County,LOW,Death: Overdose Death,,,"20,288",3,14.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Randolph,County,LOW,Death: Overdose Death,,,"141,858",23,16.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Richmond,County,MIDDLE,Death: Overdose Death,,,"46,651",11,23.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Robeson,County,LOW,Death: Overdose Death,,,"135,183",22,16.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Rockingham,County,LOW,Death: Overdose Death,,,"93,284",17,18.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Rowan,County,MIDDLE,Death: Overdose Death,,,"137,805",36,26.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Rutherford,County,MIDDLE,Death: Overdose Death,,,"67,416",15,22.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Sampson,County,LOW,Death: Overdose Death,,,"63,514",11,17.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Scotland,County,LOWEST,Death: Overdose Death,,,"36,275",3,8.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Stanly,County,LOW,Death: Overdose Death,,,"60,530",11,18.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Stokes,County,HIGH,Death: Overdose Death,,,"47,142",14,29.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Surry,County,LOW,Death: Overdose Death,,,"73,496",14,19
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Swain,County,LOW,Death: Overdose Death,,,"14,007",2,14.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Transylvania,County,LOW,Death: Overdose Death,,,"32,807",5,15.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Tyrrell,County,MIDDLE,Death: Overdose Death,,,"4,337",1,23.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Union,County,LOWEST,Death: Overdose Death,,,"204,888",8,3.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Vance,County,LOWEST,Death: Overdose Death,,,"45,288",4,8.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Wake,County,LOWEST,Death: Overdose Death,,,"928,787",58,6.2
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Warren,County,LOWEST (ZERO),Death: Overdose Death,,,"20,998",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Washington,County,LOWEST,Death: Overdose Death,,,"12,904",1,7.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Watauga,County,LOW,Death: Overdose Death,,,"51,626",7,13.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Wayne,County,LOW,Death: Overdose Death,,,"124,038",15,12.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Wilkes,County,LOW,Death: Overdose Death,,,"68,948",10,14.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Wilson,County,LOW,Death: Overdose Death,,,"81,155",9,11.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Yadkin,County,LOW,Death: Overdose Death,,,"38,342",7,18.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Yancey,County,HIGH,Death: Overdose Death,,,"17,690",6,33.9
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Alamance,County,LOWEST,Death: Illicit Opioid Overdose,,,21,2,9.523809524
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Alexander,County,LOW,Death: Illicit Opioid Overdose,,,10,2,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Alleghany,County,HIGHEST,Death: Illicit Opioid Overdose,,,1,1,100
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Anson,County,LOW,Death: Illicit Opioid Overdose,,,3,1,33.333333333
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Ashe,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,3,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Avery,County,HIGHEST,Death: Illicit Opioid Overdose,,,3,2,66.666666667
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Beaufort,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,4,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Bertie,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Bladen,County,LOW,Death: Illicit Opioid Overdose,,,3,1,33.333333333
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Brunswick,County,LOWEST,Death: Illicit Opioid Overdose,,,29,3,10.344827586
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Buncombe,County,LOWEST,Death: Illicit Opioid Overdose,,,33,2,6.060606061
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Burke,County,LOW,Death: Illicit Opioid Overdose,,,15,3,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Cabarrus,County,LOWEST,Death: Illicit Opioid Overdose,,,18,2,11.111111111
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Caldwell,County,LOW,Death: Illicit Opioid Overdose,,,12,3,25
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Camden,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Carteret,County,LOW,Death: Illicit Opioid Overdose,,,18,6,33.333333333
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Caswell,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,2,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Catawba,County,LOWEST,Death: Illicit Opioid Overdose,,,29,3,10.344827586
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Chatham,County,LOWEST,Death: Illicit Opioid Overdose,,,7,1,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Cherokee,County,LOWEST,Death: Illicit Opioid Overdose,,,17,1,5.882352941
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Chowan,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Clay,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Cleveland,County,LOWEST,Death: Illicit Opioid Overdose,,,12,2,16.666666667
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Columbus,County,LOWEST,Death: Illicit Opioid Overdose,,,13,1,7.692307692
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Craven,County,LOWEST,Death: Illicit Opioid Overdose,,,7,1,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Cumberland,County,LOWEST,Death: Illicit Opioid Overdose,,,45,6,13.333333333
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Currituck,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,3,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Dare,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,8,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Davidson,County,LOWEST,Death: Illicit Opioid Overdose,,,34,1,2.941176471
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Davie,County,LOW,Death: Illicit Opioid Overdose,,,5,1,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Duplin,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,4,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Durham,County,LOWEST,Death: Illicit Opioid Overdose,,,26,1,3.846153846
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Edgecombe,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,5,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Forsyth,County,LOWEST,Death: Illicit Opioid Overdose,,,50,6,12
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Franklin,County,MIDDLE,Death: Illicit Opioid Overdose,,,2,1,50
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Gaston,County,LOWEST,Death: Illicit Opioid Overdose,,,40,3,7.5
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Gates,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Graham,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Granville,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,6,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Greene,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,3,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Guilford,County,LOWEST,Death: Illicit Opioid Overdose,,,48,2,4.166666667
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Halifax,County,LOW,Death: Illicit Opioid Overdose,,,5,1,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Harnett,County,LOWEST,Death: Illicit Opioid Overdose,,,13,1,7.692307692
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Haywood,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,4,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Henderson,County,MIDDLE,Death: Illicit Opioid Overdose,,,15,6,40
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Hertford,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Hoke,County,LOWEST,Death: Illicit Opioid Overdose,,,8,1,12.5
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Hyde,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Iredell,County,LOWEST,Death: Illicit Opioid Overdose,,,36,2,5.555555556
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Jackson,County,LOWEST,Death: Illicit Opioid Overdose,,,7,1,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Johnston,County,LOWEST,Death: Illicit Opioid Overdose,,,20,1,5
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Jones,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Lee,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,11,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Lenoir,County,LOW,Death: Illicit Opioid Overdose,,,13,4,30.769230769
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Lincoln,County,LOWEST,Death: Illicit Opioid Overdose,,,13,1,7.692307692
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Macon,County,LOW,Death: Illicit Opioid Overdose,,,5,1,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Madison,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Martin,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,McDowell,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,7,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Mecklenburg,County,LOWEST,Death: Illicit Opioid Overdose,,,77,7,9.090909091
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Mitchell,County,MIDDLE,Death: Illicit Opioid Overdose,,,2,1,50
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Montgomery,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Moore,County,LOWEST,Death: Illicit Opioid Overdose,,,7,1,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Nash,County,LOWEST,Death: Illicit Opioid Overdose,,,10,1,10
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,NC,State,LOWEST,Death: Illicit Opioid Overdose,,,"1,222",146,11.947626841
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,New Hanover,County,LOWEST,Death: Illicit Opioid Overdose,,,39,4,10.256410256
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Northampton,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Onslow,County,LOWEST,Death: Illicit Opioid Overdose,,,23,4,17.391304348
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Orange,County,LOWEST,Death: Illicit Opioid Overdose,,,16,1,6.25
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Pamlico,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,2,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Pasquotank,County,MIDDLE,Death: Illicit Opioid Overdose,,,5,2,40
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Pender,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,6,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Perquimans,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Person,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,9,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Pitt,County,LOWEST,Death: Illicit Opioid Overdose,,,9,1,11.111111111
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Polk,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,3,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Randolph,County,LOWEST,Death: Illicit Opioid Overdose,,,23,4,17.391304348
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Richmond,County,MIDDLE,Death: Illicit Opioid Overdose,,,11,4,36.363636364
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Robeson,County,LOWEST,Death: Illicit Opioid Overdose,,,22,4,18.181818182
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Rockingham,County,LOW,Death: Illicit Opioid Overdose,,,17,5,29.411764706
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Rowan,County,LOWEST,Death: Illicit Opioid Overdose,,,36,5,13.888888889
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Rutherford,County,LOWEST,Death: Illicit Opioid Overdose,,,15,1,6.666666667
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Sampson,County,LOWEST,Death: Illicit Opioid Overdose,,,11,2,18.181818182
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Scotland,County,LOW,Death: Illicit Opioid Overdose,,,3,1,33.333333333
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Stanly,County,LOWEST,Death: Illicit Opioid Overdose,,,11,1,9.090909091
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Stokes,County,LOWEST,Death: Illicit Opioid Overdose,,,14,2,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Surry,County,LOW,Death: Illicit Opioid Overdose,,,14,3,21.428571429
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Swain,County,MIDDLE,Death: Illicit Opioid Overdose,,,2,1,50
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Transylvania,County,LOW,Death: Illicit Opioid Overdose,,,5,1,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Tyrrell,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Union,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,8,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Vance,County,LOW,Death: Illicit Opioid Overdose,,,4,1,25
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Wake,County,LOWEST,Death: Illicit Opioid Overdose,,,58,5,8.620689655
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Warren,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,0,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Washington,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,1,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Watauga,County,LOWEST,Death: Illicit Opioid Overdose,,,7,1,14.285714286
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Wayne,County,LOW,Death: Illicit Opioid Overdose,,,15,3,20
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Wilkes,County,LOW,Death: Illicit Opioid Overdose,,,10,3,30
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Wilson,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,9,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Yadkin,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,7,0,0
12/31/2011,Year,DEATH_ILLICITOPIOID_PCT, ,Yancey,County,LOWEST (ZERO),Death: Illicit Opioid Overdose,,,6,0,0
